image_idx,segment_idx
241,5
3478,8
2750,0
3675,1
3595,0
2773,2
57,0
2475,1
2980,10
3360,0
2910,0
3496,4
2168,2
3436,12
4339,1
614,3
1974,2
1285,7
1163,0
1200,17
1696,7
4549,4
1017,1
2144,3
4598,7
1073,4
4029,11
4598,1
1409,2
4879,2
4067,1
249,0
217,1
4908,5
3075,3
936,2
789,10
4586,2
2613,2
4306,10
1132,1
4803,1
4903,1
4790,4
4079,0
4055,9
3991,1
2000,0
4028,2
1608,0
1221,0
1462,0
1271,9
4194,7
579,21
2334,0
4217,0
4863,0
413,1
3114,0
254,3
3500,3
1257,0
594,0
1218,0
885,0
3609,2
1340,0
3991,9
3411,6
2187,3
815,0
2182,0
1475,0
4573,1
1260,0
1684,19
4151,1
1164,0
4772,0
3829,6
2343,7
4021,0
3843,2
3503,0
2401,16
4919,0
2884,2
1219,2
3116,0
251,0
2697,1
3746,1
3500,15
3687,2
203,0
126,1
3711,0
3010,2
869,0
4894,1
4946,0
1170,0
692,0
3719,1
4519,2
4356,1
3974,3
891,5
4864,0
4843,0
3440,0
3271,1
1261,3
2608,2
4911,0
196,1
1287,1
25,5
4326,2
1874,0
3665,5
2593,0
4769,0
631,3
1031,12
2293,4
2997,3
340,4
1563,0
973,0
1907,2
1939,1
3773,1
4253,0
3169,0
3068,0
4530,0
4858,1
1369,0
3349,12
1673,0
4191,0
1202,0
133,8
4502,6
4874,0
4863,1
4009,2
3399,3
2651,3
1446,0
4596,0
2499,0
2287,1
151,2
2007,2
4427,5
2408,4
3610,5
3173,1
688,2
242,0
4,2
3317,9
4434,6
3427,2
2531,0
2350,0
641,0
1920,1
2580,0
4778,1
1069,2
1886,1
1630,0
4688,21
1033,0
4095,2
4313,1
66,0
2765,0
781,21
1910,1
979,0
1213,0
2317,1
1854,3
304,2
369,1
398,4
3159,1
1719,2
2237,2
4242,21
2539,0
3929,1
2424,2
2212,2
451,0
3966,1
845,1
656,1
678,1
74,0
192,0
3335,1
1702,0
1263,0
4958,4
1576,0
1137,0
561,0
4093,2
625,11
2874,0
1047,4
4868,1
2426,1
2144,6
3816,0
4252,1
3854,4
1901,1
3991,10
1566,1
2885,0
1142,0
10,4
76,0
3961,0
4467,2
1697,1
2454,2
1768,0
131,1
1949,3
2527,13
592,0
3693,2
1557,0
1122,5
4936,3
102,2
2330,0
503,12
3228,2
3715,1
633,1
3783,0
2172,4
2512,6
3043,0
728,2
4292,13
2749,0
716,1
3893,0
3523,2
3254,4
4337,0
935,0
2493,1
2250,0
1559,3
3003,0
3920,10
7,1
1198,9
4608,0
1360,0
3046,7
4350,4
1166,1
2373,1
484,0
1951,1
4696,0
3438,6
4019,1
469,1
4742,5
3298,1
2159,2
328,2
2008,4
3355,1
612,3
1483,1
4655,2
999,1
4154,0
3085,0
2843,2
2417,3
3748,31
2775,0
2908,6
1986,7
727,10
2984,2
3004,0
4684,3
3749,0
2880,1
4755,6
1949,0
1974,0
2269,1
1257,1
3638,0
4592,0
2677,0
1280,3
1164,1
3368,4
2440,0
2755,7
1823,2
4008,4
612,5
2973,0
3308,3
2954,11
590,0
3721,1
4402,5
199,0
1022,1
2582,3
1505,12
2666,0
2629,2
1341,17
3229,1
4405,0
412,0
4158,6
1073,0
282,8
2392,9
3093,0
3704,0
1985,3
3359,1
240,3
4172,0
3700,9
3029,0
4329,0
3063,1
4564,2
1243,0
3620,0
2086,0
3063,6
2973,1
3027,0
3442,10
4555,0
3768,4
4827,1
4844,5
2675,0
310,0
3047,1
2616,1
4899,0
2669,2
2473,0
3917,0
4143,3
4727,1
720,0
449,1
77,1
2224,2
3451,0
1513,1
4235,4
2177,4
4787,0
1952,0
564,1
3827,0
1035,0
3998,2
318,3
1559,2
148,0
2070,2
718,1
4875,6
863,0
3018,3
1034,15
3243,9
2590,2
3055,2
4262,4
976,2
4394,0
724,1
2755,2
1519,0
3300,2
1152,0
3744,1
4849,1
2196,0
1214,2
4665,0
460,0
4816,1
3411,4
3946,3
875,1
2183,2
3520,0
2184,2
4462,0
908,1
1872,1
2203,1
4416,2
476,1
1393,13
1285,8
2240,0
612,4
3947,0
3644,0
4999,8
882,0
4826,0
184,1
1934,0
3765,1
3569,1
2095,1
4822,5
939,2
120,6
1442,0
293,2
4132,1
4805,4
874,2
1675,1
3691,0
2305,4
585,10
446,8
2226,1
3898,0
1960,0
452,2
3515,0
1496,5
3894,0
3605,0
2954,13
3781,1
1045,9
85,2
489,0
2826,0
2244,13
3189,0
43,1
2380,0
1796,0
2770,11
1843,0
1293,0
4015,0
505,0
3272,0
514,1
3757,0
2376,18
3849,0
39,0
2326,2
3796,2
207,1
449,12
2926,0
1457,0
3381,0
2131,2
708,0
3811,0
1180,4
3395,1
2005,1
2576,4
2363,0
2392,3
3514,2
4343,3
2023,12
3246,4
3034,1
2165,2
2019,6
4176,15
2711,7
2880,0
4013,1
1982,7
3013,0
1691,2
2547,5
4681,0
3534,0
512,0
524,0
747,9
2803,6
1234,0
3744,2
3940,17
2129,1
2065,1
3598,4
4503,13
217,4
1701,4
2712,1
367,4
1863,1
1617,2
1795,3
142,1
4664,0
259,1
4341,2
1818,0
4988,7
2729,0
2079,1
2648,1
3524,1
1024,1
1565,0
2197,14
2816,4
4729,0
2631,2
2847,6
2843,0
4022,2
206,4
3600,2
1027,0
1494,0
4315,0
1865,0
527,1
3057,2
2471,4
4880,0
1077,1
4109,3
488,7
4941,1
2612,0
2829,0
625,7
3366,0
3012,5
2840,0
1503,7
306,1
1998,17
4001,3
363,0
3551,1
361,2
4297,1
2096,15
878,1
1118,0
526,1
4754,5
792,2
1659,0
3247,2
1126,6
176,4
3844,0
1493,14
4142,0
2728,2
2721,0
851,3
4717,0
2013,9
2899,0
1574,2
3403,0
4914,11
2091,1
3003,1
4247,6
973,2
2045,0
588,1
231,2
3968,7
830,4
4876,1
2219,0
2379,16
2638,0
2705,1
3705,7
4131,3
307,6
3555,7
449,2
3937,1
4655,9
966,13
1115,1
3499,0
1686,1
4398,0
4147,0
1689,4
1908,0
1128,0
4745,10
3677,0
3562,3
2424,1
3929,4
4675,0
4343,2
471,8
989,3
2779,4
2418,0
1332,1
3787,1
4495,5
3542,8
1509,3
2448,13
2481,0
1139,8
763,0
619,0
634,0
445,3
376,0
1180,1
3144,0
1503,8
983,0
1183,4
2849,0
685,0
2314,0
3221,0
1196,2
56,4
1288,1
289,0
2692,1
4735,1
9,3
3974,1
1652,3
3320,2
3168,1
846,7
410,0
730,9
1028,0
1922,2
6,1
1038,1
3828,3
2282,0
1476,8
2275,1
2039,1
4315,1
523,0
3829,1
3052,7
2089,11
1976,2
2338,0
2102,1
4710,1
2699,0
3203,3
4702,1
4544,2
1801,0
4137,0
355,16
573,12
2696,3
855,0
88,0
1593,5
551,5
614,1
2827,0
3038,0
3260,0
3181,0
2296,5
1763,1
977,2
2911,3
3815,1
486,10
4729,1
430,0
3556,1
3786,9
959,0
1368,4
3165,1
3421,3
2730,0
4056,0
2910,1
2070,1
4434,10
4400,4
1123,1
3414,2
554,3
3803,5
4119,7
2747,1
1795,0
1813,0
4988,5
2054,1
4617,15
3450,0
2433,0
3268,2
622,0
1580,1
1044,1
4504,0
4326,1
3173,0
4280,2
1348,2
4429,1
2705,0
1168,0
2117,1
2946,0
2898,1
4083,1
4412,2
3475,1
3312,22
4499,2
2924,22
2169,0
1470,0
237,1
608,1
4833,1
2695,5
1023,2
4787,3
3995,1
3562,1
1085,0
2665,0
4059,0
3129,6
3386,8
195,2
4026,4
106,0
1991,0
528,9
1514,6
3500,9
4783,0
2588,0
4096,0
1938,1
2057,7
2516,0
3719,2
970,2
3390,0
3401,1
3279,0
4931,0
628,1
2157,0
565,6
4881,2
2765,1
186,1
1849,0
3700,1
4295,0
750,12
4578,0
1998,22
547,0
1751,0
1447,7
3668,0
3464,0
1413,0
42,1
783,2
278,10
198,0
1167,4
3044,0
3729,5
142,0
3212,12
2550,4
787,4
1346,1
3137,0
2771,0
1468,3
556,0
3858,0
201,6
3757,2
2942,1
3914,0
2508,7
1139,13
3049,1
2215,2
759,10
1710,1
2949,0
4523,1
4037,1
2608,1
476,0
1084,0
2517,1
4271,1
3729,9
1555,14
282,7
144,1
3281,1
3104,4
2029,0
2310,23
1769,4
2479,2
4479,0
1507,0
3446,6
3372,0
3876,0
4550,0
163,0
4736,5
518,2
3204,12
2281,1
3872,4
3687,3
2465,1
1422,6
4920,4
2341,0
811,0
1092,0
2559,0
2901,10
1518,3
1962,1
899,7
3180,1
4384,5
72,1
473,2
2774,0
96,27
3814,1
471,0
898,0
32,0
3834,0
3304,25
844,1
2106,10
705,0
1511,7
4091,11
2186,2
1088,0
4429,0
2567,2
1045,2
1178,1
90,3
3751,1
3610,4
1082,1
3399,1
4299,1
1658,21
3853,1
3349,7
2273,1
1907,1
1496,0
1268,0
1794,1
2983,1
1397,1
2744,0
2710,1
2370,0
2402,6
1839,1
2693,0
851,0
4733,0
1124,0
282,0
1718,0
601,7
4913,2
3332,1
800,1
2808,0
2344,0
3050,1
2379,6
483,10
4537,2
777,0
3386,2
4782,1
799,2
4281,0
500,0
4372,1
916,9
3078,0
3954,1
2821,7
2892,3
2657,0
4520,3
1917,0
1826,3
557,0
2715,0
4756,0
1118,6
1567,20
166,0
3402,5
4490,0
4957,1
31,1
839,0
1352,2
2339,0
3104,2
2174,24
1313,1
4656,1
2019,8
2376,1
296,3
1272,15
1560,3
4464,1
3459,2
735,2
4158,2
864,0
2793,2
3979,1
1310,0
1509,2
3564,0
3120,3
1002,1
1461,0
2460,9
2455,1
4581,2
2194,0
3409,3
336,3
1202,2
3056,0
3679,3
584,10
865,0
262,1
2959,1
798,0
3036,17
985,1
574,1
2920,2
3778,3
943,1
653,0
2920,13
28,2
2444,3
2807,2
4090,0
4292,12
143,0
4960,0
480,0
3676,2
3327,3
1421,0
4483,10
4027,0
2689,0
507,0
958,3
1119,4
976,6
815,2
3626,14
1056,1
4923,0
1825,1
3308,2
4130,11
2937,1
3946,7
424,0
3776,17
3994,3
3819,0
3289,1
4617,1
1383,14
688,4
2559,1
1717,3
4764,1
1266,0
1163,12
4637,1
4362,0
3252,14
172,3
3322,1
1126,1
4875,2
4027,1
2606,0
781,11
1898,1
2092,0
3631,0
2982,0
3363,0
837,7
4898,3
4001,2
4543,2
1992,2
2174,3
563,0
2969,1
3341,2
2665,14
3661,0
2363,1
4725,0
1692,6
4177,0
717,5
1056,0
3210,18
2548,1
1486,10
3320,1
565,8
2386,0
4014,5
3171,12
928,1
543,2
3804,1
1246,2
327,0
4525,3
3041,0
3379,1
3238,1
2491,1
3919,0
1272,6
1063,21
2682,0
3247,1
637,19
3811,7
4991,0
689,0
4956,1
2021,2
415,6
1649,0
2792,1
3367,1
4207,1
2471,18
13,1
4150,3
1366,14
4211,1
3071,19
1204,2
1691,0
2834,2
707,9
3215,2
747,11
3608,0
1163,16
331,8
4564,6
4691,0
2989,18
2760,1
761,1
211,1
942,0
2583,12
3453,3
3988,0
1564,3
4547,0
3818,0
2766,1
2592,0
4579,6
2703,0
4928,1
4233,1
3147,1
2607,0
4280,6
1464,1
4071,30
3471,0
976,0
2307,0
3292,1
3650,3
2566,1
333,0
1617,1
682,0
416,3
3197,16
1210,12
1633,2
4225,4
2422,1
3781,0
1530,3
